index,x,y,z,yaw,vn,ve,vd,an,ae,ad
200,-3.9295,13.5668,-5.61216,104.179,-0.558909,1.92032,-0.5,0,0,0
201,-3.94913,13.6346,-5.61645,104.179,-0.558909,1.92032,-0.5,0,0,0
202,-3.96876,13.7023,-5.62074,104.179,-0.558909,1.92032,-0.5,0,0,0
203,-3.98839,13.7701,-5.62503,104.179,-0.558909,1.92032,-0.5,0,0,0
204,-4.00802,13.8379,-5.62932,104.179,-0.558909,1.92032,-0.5,0,0,0
205,-4.02765,13.9057,-5.63361,104.179,-0.558909,1.92032,-0.5,0,0,0
206,-4.04728,13.9734,-5.6379,104.179,-0.558909,1.92032,-0.5,0,0,0
207,-4.06691,14.0413,-5.64219,104.179,-0.558909,1.92032,-0.5,0,0,0
208,-4.08654,14.109,-5.64648,104.179,-0.558909,1.92032,-0.5,0,0,0
209,-4.10617,14.1768,-5.65077,104.179,-0.558909,1.92032,-0.5,0,0,0
210,-4.1258,14.2446,-5.65506,104.179,-0.558909,1.92032,-0.5,0,0,0
211,-4.14543,14.3124,-5.65935,104.179,-0.558909,1.92032,-0.5,0,0,0
212,-4.16506,14.3801,-5.66364,104.179,-0.558909,1.92032,-0.5,0,0,0
213,-4.18458,14.4479,-5.66793,104.179,-0.558909,1.92032,-0.5,0,0,0
214,-4.20421,14.5157,-5.67222,104.179,-0.558909,1.92032,-0.5,0,0,0
215,-4.22384,14.5834,-5.67651,104.179,-0.558909,1.92032,-0.5,0,0,0
216,-4.24347,14.6513,-5.6808,104.179,-0.558909,1.92032,-0.5,0,0,0
217,-4.2631,14.719,-5.68509,104.179,-0.558909,1.92032,-0.5,0,0,0
218,-4.28273,14.7868,-5.68938,104.179,-0.558909,1.92032,-0.5,0,0,0
219,-4.30236,14.8546,-5.69367,104.179,-0.558909,1.92032,-0.5,0,0,0
220,-4.32199,14.9224,-5.69796,104.179,-0.558909,1.92032,-0.5,0,0,0
221,-4.34163,14.9901,-5.70225,104.179,-0.558909,1.92032,-0.5,0,0,0
222,-4.36126,15.0579,-5.70654,104.179,-0.558909,1.92032,-0.5,0,0,0
223,-4.38089,15.1257,-5.71083,104.179,-0.558909,1.92032,-0.5,0,0,0
224,-4.40052,15.1935,-5.71512,104.179,-0.558909,1.92032,-0.5,0,0,0
225,-4.42015,15.2612,-5.71941,104.179,-0.558909,1.92032,-0.5,0,0,0
226,-4.43978,15.329,-5.7237,104.179,-0.558909,1.92032,-0.5,0,0,0
227,-4.45941,15.3968,-5.72799,104.179,-0.558909,1.92032,-0.5,0,0,0
228,-4.47904,15.4645,-5.73228,104.179,-0.558909,1.92032,-0.5,0,0,0
229,-4.49867,15.5324,-5.73657,104.179,-0.558909,1.92032,-0.5,0,0,0
230,-4.5183,15.6001,-5.74086,104.179,-0.558909,1.92032,-0.5,0,0,0
231,-4.53793,15.6679,-5.74515,104.179,-0.558909,1.92032,-0.5,0,0,0
232,-4.55756,15.7357,-5.74944,104.179,-0.558909,1.92032,-0.5,0,0,0
233,-4.57719,15.8035,-5.75373,104.179,-0.558909,1.92032,-0.5,0,0,0
234,-4.59682,15.8712,-5.75802,104.179,-0.558909,1.92032,-0.5,0,0,0
235,-4.61645,15.9391,-5.76231,104.179,-0.558909,1.92032,-0.5,0,0,0
236,-4.63608,16.0068,-5.7666,104.179,-0.558909,1.92032,-0.5,0,0,0
237,-4.65571,16.0745,-5.77089,104.179,-0.558909,1.92032,-0.5,0,0,0
238,-4.67534,16.1424,-5.77518,104.179,-0.558909,1.92032,-0.5,0,0,0
239,-4.69497,16.2101,-5.77947,104.179,-0.558909,1.92032,-0.5,0,0,0
240,-4.7146,16.2779,-5.78376,104.179,-0.558909,1.92032,-0.5,0,0,0
241,-4.73423,16.3457,-5.78805,104.179,-0.558909,1.92032,-0.5,0,0,0
242,-4.75386,16.4135,-5.79234,104.179,-0.558909,1.92032,-0.5,0,0,0
243,-4.77349,16.4812,-5.79663,104.179,-0.558909,1.92032,-0.5,0,0,0
244,-4.79312,16.5491,-5.80092,104.179,-0.558909,1.92032,-0.5,0,0,0
245,-4.81264,16.6168,-5.8052,104.179,-0.558909,1.92032,-0.5,0,0,0
246,-4.83227,16.6846,-5.80949,104.179,-0.558909,1.92032,-0.5,0,0,0
247,-4.8519,16.7524,-5.81378,104.179,-0.558909,1.92032,-0.5,0,0,0
248,-4.87153,16.8202,-5.81807,104.179,-0.558909,1.92032,-0.5,0,0,0
249,-4.89117,16.8879,-5.82237,104.179,-0.558909,1.92032,-0.5,0,0,0
250,-4.9108,16.9557,-5.82665,104.179,-0.558909,1.92032,-0.5,0,0,0
251,-4.93043,17.0235,-5.83094,104.179,-0.558909,1.92032,-0.5,0,0,0
252,-4.95006,17.0912,-5.83523,104.179,-0.558909,1.92032,-0.5,0,0,0
253,-4.96969,17.159,-5.83952,104.179,-0.558909,1.92032,-0.5,0,0,0
254,-4.98932,17.2268,-5.84381,104.179,-0.558909,1.92032,-0.5,0,0,0
255,-5.00895,17.2946,-5.8481,104.179,-0.558909,1.92032,-0.5,0,0,0
256,-5.02858,17.3623,-5.85239,104.179,-0.558909,1.92032,-0.5,0,0,0
257,-5.04821,17.4302,-5.85668,104.179,-0.558909,1.92032,-0.5,0,0,0
258,-5.06784,17.4979,-5.86097,104.179,-0.558909,1.92032,-0.5,0,0,0
259,-5.08747,17.5657,-5.86526,104.179,-0.558909,1.92032,-0.5,0,0,0
260,-5.1071,17.6335,-5.86955,104.179,-0.558909,1.92032,-0.5,0,0,0
261,-5.12673,17.7012,-5.87384,104.179,-0.558909,1.92032,-0.5,0,0,0
262,-5.14636,17.769,-5.87813,104.179,-0.558909,1.92032,-0.5,0,0,0
263,-5.16599,17.8368,-5.88242,104.179,-0.558909,1.92032,-0.5,0,0,0
264,-5.18562,17.9046,-5.88671,104.179,-0.558909,1.92032,-0.5,0,0,0
265,-5.20525,17.9723,-5.891,104.179,-0.558909,1.92032,-0.5,0,0,0
266,-5.22488,18.0402,-5.89529,104.179,-0.558909,1.92032,-0.5,0,0,0
267,-5.24451,18.1079,-5.89958,104.179,-0.558909,1.92032,-0.5,0,0,0
268,-5.26414,18.1757,-5.90387,104.179,-0.558909,1.92032,-0.5,0,0,0
269,-5.28377,18.2435,-5.90816,104.179,-0.558909,1.92032,-0.5,0,0,0
270,-5.3034,18.3113,-5.91245,104.179,-0.558909,1.92032,-0.5,0,0,0
271,-5.32303,18.379,-5.91674,104.179,-0.558909,1.92032,-0.5,0,0,0
272,-5.34266,18.4469,-5.92103,104.179,-0.558909,1.92032,-0.5,0,0,0
273,-5.36229,18.5146,-5.92532,104.179,-0.558909,1.92032,-0.5,0,0,0
274,-5.38192,18.5823,-5.92961,104.179,-0.558909,1.92032,-0.5,0,0,0
275,-5.40155,18.6502,-5.9339,104.179,-0.558909,1.92032,-0.5,0,0,0
276,-5.42119,18.7179,-5.93819,104.179,-0.558909,1.92032,-0.5,0,0,0
277,-5.44082,18.7857,-5.94248,104.179,-0.558909,1.92032,-0.5,0,0,0
278,-5.46033,18.8534,-5.94677,104.179,-0.558909,1.92032,-0.5,0,0,0
279,-5.47997,18.9213,-5.95106,104.179,-0.558909,1.92032,-0.5,0,0,0
