t,Px,Py,Pz,yaw,vn,ve,vd,an,ae,ad
5.45000000,-3.046055,10.465732,-2.725000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.50000000,-3.074000,10.561748,-2.750000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.55000000,-3.101946,10.657764,-2.775000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.60000000,-3.129891,10.753780,-2.800000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.65000000,-3.157837,10.849796,-2.825000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.70000000,-3.185782,10.945812,-2.850000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.75000000,-3.213728,11.041828,-2.875000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.80000000,-3.241673,11.137843,-2.900000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.85000000,-3.269618,11.233859,-2.925000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.90000000,-3.297564,11.329875,-2.950000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.95000000,-3.325509,11.425891,-2.975000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.00000000,-3.353455,11.521907,-3.000000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.05000000,-3.381400,11.617923,-3.025000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.10000000,-3.409346,11.713939,-3.050000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.15000000,-3.437291,11.809955,-3.075000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.20000000,-3.465237,11.905971,-3.100000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.25000000,-3.493182,12.001986,-3.125000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.30000000,-3.521128,12.098002,-3.150000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.35000000,-3.549073,12.194018,-3.175000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.40000000,-3.577019,12.290034,-3.200000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.45000000,-3.604964,12.386050,-3.225000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.50000000,-3.632909,12.482066,-3.250000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.55000000,-3.660855,12.578082,-3.275000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.60000000,-3.688800,12.674098,-3.300000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.65000000,-3.716746,12.770114,-3.325000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.70000000,-3.744691,12.866129,-3.350000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.75000000,-3.772637,12.962145,-3.375000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.80000000,-3.800582,13.058161,-3.400000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.85000000,-3.828528,13.154177,-3.425000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.90000000,-3.856473,13.250193,-3.450000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
6.95000000,-3.884419,13.346209,-3.475000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.00000000,-3.912364,13.442225,-3.500000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.05000000,-3.940309,13.538241,-3.525000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.10000000,-3.968255,13.634257,-3.550000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.15000000,-3.996200,13.730272,-3.575000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.20000000,-4.024146,13.826288,-3.600000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.25000000,-4.052091,13.922304,-3.625000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.30000000,-4.080037,14.018320,-3.650000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.35000000,-4.107982,14.114336,-3.675000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.40000000,-4.135928,14.210352,-3.700000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.45000000,-4.163873,14.306368,-3.725000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.50000000,-4.191819,14.402384,-3.750000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.55000000,-4.219764,14.498400,-3.775000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.60000000,-4.247709,14.594416,-3.800000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.65000000,-4.275655,14.690431,-3.825000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.70000000,-4.303600,14.786447,-3.850000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.75000000,-4.331546,14.882463,-3.875000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.80000000,-4.359491,14.978479,-3.900000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.85000000,-4.387437,15.074495,-3.925000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
7.90000000,-4.415382,15.170511,-3.950000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
