index,x,y,z,vx,vy,vz
170,30.0185,24.6327,42,-2.43995,-3,0.000124464
171,29.9585,24.5828,42,-2.40464,-3,9.54e-05
172,29.8985,24.5412,42,-2.36991,-3,7.15e-05
173,29.8386,24.4913,42,-2.33613,-3,5.04e-05
174,29.7786,24.4414,42,-2.30331,-3,2.12e-05
175,29.7186,24.3998,42,-2.27124,-3,0
176,29.6586,24.3583,42,-2.23997,-3,-2.38e-05
177,29.5987,24.3084,42,-2.20963,-3,-4.77e-05
178,29.5387,24.2668,42,-2.18066,-3,-7.15e-05
179,29.4787,24.2252,42,-2.15318,-3,-9.37e-05
180,29.4187,24.1836,42,-2.127,-3,-0.000108955
181,29.3587,24.142,42,-2.10201,-3,-0.00013231
182,29.2988,24.1005,42,-2.07828,-3,-0.000153792
183,29.2388,24.0589,42,-2.05602,-3,-0.000167783
184,29.1788,24.0173,42,-2.03568,-3,-0.000195525
185,29.1188,23.9757,42,-2.01698,-3,-0.000194927
186,29.0589,23.9341,42,-1.99984,-3,-0.000218228
187,28.9989,23.8926,42,-1.98442,-3,-0.000229676
188,28.9389,23.8593,42,-1.97089,-3,-0.000241189
189,28.8789,23.8177,42,-1.95936,-3,-0.000240832
190,28.819,23.7761,42,-1.94965,-3,-0.000264371
191,28.759,23.7429,42,-1.94164,-3,-0.000254216
192,28.699,23.7013,42.0001,-1.93548,-3,-0.000265593
193,28.639,23.6597,42.0001,-1.93114,-3,-0.000272026
194,28.5779,23.6265,42.0001,-1.92871,-3,-0.000275627
195,28.518,23.5849,42.0001,-1.92818,-3,-0.000271765
196,28.458,23.5433,42.0001,-1.92954,-3,-0.000267565
197,28.398,23.51,42.0001,-1.93275,-3,-0.000274917
198,28.338,23.4684,42.0001,-1.93773,-3,-0.000264793
199,28.278,23.4269,42.0001,-1.94431,-3,-0.000255053
200,28.2181,23.3936,42.0001,-1.95243,-3,-0.000254667
201,28.1581,23.352,42.0001,-1.96217,-3,-0.00024784
202,28.0981,23.3104,42.0001,-1.97359,-3,-0.000235277
203,28.0381,23.2689,42.0001,-1.98657,-3,-0.000229722
204,27.9782,23.2356,42.0001,-2.00092,-3,-0.000218251
205,27.9182,23.194,42.0001,-2.016,-3,-0.000206812
206,27.8582,23.1524,42.0001,-2.03191,-3,-0.000194341
